Organization,Organization City,Organization State,Organization Postal Code,Full Address,Latitude,Longitude
San Antonio College,San Antonio,TX,78212-4299,"San Antonio College, San Antonio, TX 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",29.7308885,-98.2229565
Arizona Board of Regents,Tucson,AZ,85721-0073,"Arizona Board of Regents, Tucson, AZ 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",32.32016610000001,-110.708204
Texas Tech University,Lubbock,TX,79409-0006,"Texas Tech University, Lubbock, TX 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",33.7084677,-101.748998
Azusa Pacific University,Azusa,CA,91702-2701,"Azusa Pacific University, Azusa, CA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",34.168206,-117.881345
New Mexico State University,Las Cruces,NM,88003-8002,"New Mexico State University, Las Cruces, NM 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",32.433932,-106.665832
Capital Community College,Hartford,CT,06103-1211,"Capital Community College, Hartford, CT 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",41.807575,-72.6425359
William Paterson University,Wayne,NJ,07470-2103,"William Paterson University, Wayne, NJ 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",41.014063,-74.1955409
"University of California, Santa Barbara",Santa Barbara,CA,93106-0001,"University of California, Santa Barbara, Santa Barbara, CA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",34.4611451,-119.6399201
"CUNY Research Foundation, City College",New York,NY,10031-9101,"CUNY Research Foundation, City College, New York, NY 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",40.9175771,-73.70027209999999
Florida International University Board of Trustees,Miami,FL,33199-2516,"Florida International University Board of Trustees, Miami, FL 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",25.855773,-80.139157
"University of Texas Health Sciences Center, San Antonio",San Antonio,TX,78229-3901,"University of Texas Health Sciences Center, San Antonio, San Antonio, TX 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",29.7308885,-98.2229565
Dominican University,River Forest,IL,60305-1099,"Dominican University, River Forest, IL 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",41.908831,-87.8049581
Mount Saint Mary's University,Los Angeles,CA,90049-1599,"Mount Saint Mary's University, Los Angeles, CA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",34.3373061,-118.1552891
Mendocino College,Ukiah,CA,95482-3017,"Mendocino College, Ukiah, CA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",39.174391,-123.180237
